region,crime_type,crime,value,time
New York City,  Violent Crime,Murder,515,2011
New York City,  Violent Crime,Forcible Rape,1092,2011
New York City,  Violent Crime,Robbery,19773,2011
New York City,  Violent Crime,Agg. Assault,29829,2011
New York City,  Property Crime,Burglary,18159,2011
New York City,  Property Crime,Larceny,112864,2011
New York City,  Property Crime,MV Theft,9434,2011
Non-New York City,  Violent Crime,Murder,254,2011
Non-New York City,  Violent Crime,Forcible Rape,1674,2011
Non-New York City,  Violent Crime,Robbery,8573,2011
Non-New York City,  Violent Crime,Agg. Assault,15725,2011
Non-New York City,  Property Crime,Burglary,46820,2011
Non-New York City,  Property Crime,Larceny,174433,2011
Non-New York City,  Property Crime,MV Theft,9211,2011
New York City,  Violent Crime,Murder,419,2012
New York City,  Violent Crime,Forcible Rape,1162,2012
New York City,  Violent Crime,Robbery,20201,2012
New York City,  Violent Crime,Agg. Assault,31211,2012
New York City,  Property Crime,Burglary,18635,2012
New York City,  Property Crime,Larceny,115935,2012
New York City,  Property Crime,MV Theft,8190,2012
Non-New York City,  Violent Crime,Murder,267,2012
Non-New York City,  Violent Crime,Forcible Rape,1659,2012
Non-New York City,  Violent Crime,Robbery,8343,2012
Non-New York City,  Violent Crime,Agg. Assault,16000,2012
Non-New York City,  Property Crime,Burglary,45216,2012
Non-New York City,  Property Crime,Larceny,174947,2012
Non-New York City,  Property Crime,MV Theft,8957,2012
